[2022/06/13 11:29:44.039 -05:00] [INFO] [client.go:378] ["[pd] create pd client with endpoints"] [pd-address="[10.10.1.4:2379]"]
[2022/06/13 11:29:44.046 -05:00] [INFO] [base_client.go:350] ["[pd] switch leader"] [new-leader=http://10.10.1.4:2379] [old-leader=]
[2022/06/13 11:29:44.047 -05:00] [INFO] [base_client.go:105] ["[pd] init cluster id"] [cluster-id=7108762482654755923]
[2022/06/13 11:29:44.047 -05:00] [INFO] [client.go:673] ["[pd] tso dispatcher created"] [dc-location=global]
***************** properties *****************
"operationcount"="10000000"
"verbose"="false"
"requestdistribution"="uniform"
"tikv.conncount"="128"
"tikv.batchsize"="128"
"tikv.type"="raw"
"scanproportion"="0"
"tikv.pd"="10.10.1.4:2379"
"recordcount"="10000000"
"readallfields"="true"
"updateproportion"="0.5"
"workload"="core"
"dotransactions"="false"
"readproportion"="0.5"
"threadcount"="120"
"dropdata"="false"
"debug.pprof"=":6060"
"insertproportion"="0"
**********************************************
INSERT - Takes(s): 1049.9, Count: 7190912, OPS: 6849.2, Avg(us): 17446, Min(us): 4869, Max(us): 188143, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 110000
INSERT - Takes(s): 1059.9, Count: 7258684, OPS: 6848.5, Avg(us): 17448, Min(us): 4869, Max(us): 188143, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 110000
INSERT - Takes(s): 1069.9, Count: 7329008, OPS: 6850.3, Avg(us): 17443, Min(us): 4869, Max(us): 188143, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 110000
INSERT - Takes(s): 1079.9, Count: 7405401, OPS: 6857.6, Avg(us): 17425, Min(us): 4869, Max(us): 188143, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 110000
INSERT - Takes(s): 1089.9, Count: 7470952, OPS: 6854.8, Avg(us): 17432, Min(us): 4869, Max(us): 188143, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 110000
INSERT - Takes(s): 1099.9, Count: 7531983, OPS: 6848.0, Avg(us): 17449, Min(us): 4869, Max(us): 188143, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 110000
INSERT - Takes(s): 1109.9, Count: 7597618, OPS: 6845.4, Avg(us): 17456, Min(us): 4869, Max(us): 188143, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 110000
INSERT - Takes(s): 1119.9, Count: 7662207, OPS: 6841.9, Avg(us): 17465, Min(us): 4363, Max(us): 188143, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 109000
INSERT - Takes(s): 1129.9, Count: 7727446, OPS: 6839.1, Avg(us): 17472, Min(us): 4363, Max(us): 188143, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 109000
INSERT - Takes(s): 1139.9, Count: 7793568, OPS: 6837.1, Avg(us): 17477, Min(us): 4363, Max(us): 188143, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 109000
